spline_degree,cv_rmse_mean,cv_rmse_std,cv_r2_mean
3,0.032355421373729785,0.00453430858006845,0.03820043967805069
4,0.03237147032700129,0.004497218487504052,0.03681770601567158
5,0.032417870977614824,0.004538986531759191,0.03434300269350861
6,0.03242820457932999,0.004499032403242099,0.03342582461786512
