bmi,predicted_Y_conc,ci_lo,ci_hi,ci_lo_raw,ci_hi_raw
20.703125,0.03976263223728712,0.0,0.1083518591341728,-0.020557948549019472,0.1083518591341728
20.967487373737374,0.04088815388498866,0.0,0.10846285309803287,-0.019606251992696496,0.10846285309803287
21.231849747474747,0.0421436363649733,0.0,0.10841620687979867,-0.018148029819404835,0.10841620687979867
21.49621212121212,0.04351783053043419,0.0,0.10822230686637552,-0.0162195824955718,0.10822230686637552
21.760574494949495,0.04499948723456456,0.0,0.10789153944466875,-0.013857210487624725,0.10789153944466875
22.02493686868687,0.04657735733055761,0.0,0.10743429100158366,-0.011097214261990835,0.10743429100158366
22.289299242424242,0.04824019167160653,0.0,0.10686094792402556,-0.007975894285097488,0.10686094792402556
22.553661616161616,0.04997674111090454,0.0,0.10618189659889979,-0.004529551023371969,0.10618189659889979
22.81802398989899,0.05177575650164483,0.0,0.10678787871807748,-0.0007944849432415543,0.10678787871807748
23.082386363636363,0.05362598869702061,0.0031930034888664528,0.10811232223423257,0.0031930034888664528,0.10811232223423257
23.346748737373737,0.05551618855022508,0.007030060967764057,0.10940832316406869,0.007030060967764057,0.10940832316406869
23.61111111111111,0.05743510691445146,0.008996031835311277,0.11161999810355795,0.008996031835311277,0.11161999810355795
23.875473484848484,0.05937149464289292,0.011487406615335437,0.11321507969818018,0.011487406615335437,0.11321507969818018
24.139835858585858,0.06131410258874269,0.015928241286837768,0.11424394791778246,0.015928241286837768,0.11424394791778246
24.404198232323232,0.06325168160519395,0.020513259358979807,0.11407604001562227,0.020513259358979807,0.11407604001562227
24.668560606060606,0.06517298254543993,0.025350879870630606,0.11334396290323413,0.025350879870630606,0.11334396290323413
24.93292297979798,0.0670667562626738,0.02975117172387575,0.11221483609313582,0.02975117172387575,0.11221483609313582
25.197285353535353,0.0689217536100888,0.034296945860984425,0.1107548656164202,0.034296945860984425,0.1107548656164202
25.461647727272727,0.0707267254408781,0.038729372317880296,0.10983838523912796,0.038729372317880296,0.10983838523912796
25.7260101010101,0.07247042260823494,0.04324482976459852,0.108674037663593,0.04324482976459852,0.108674037663593
25.990372474747474,0.07414159596535248,0.04776578113649623,0.10730861969911855,0.04776578113649623,0.10730861969911855
