dataset,n_rows,n_subjects,gestation_max,cv_rmse,cv_r2
<=25w,1068,267,24.857142857142858,0.032355421373729785,0.03820043967805069
<=26w,1074,267,26.0,0.03235211650019191,0.05620777439695912
