degree,spline_cv_rmse_mean,spline_cv_rmse_std,spline_cv_r2_mean,linear_cv_rmse_mean,linear_cv_r2_mean
3,0.032355421373729785,0.00453430858006845,0.03820043967805069,0.032852479988649166,0.007273709002884354
4,0.03237147032700129,0.004497218487504052,0.03681770601567158,0.032852479988649166,0.007273709002884354
5,0.032417870977614824,0.004538986531759191,0.03434300269350861,0.032852479988649166,0.007273709002884354
6,0.03242820457932999,0.004499032403242099,0.03342582461786512,0.032852479988649166,0.007273709002884354
