degree,fold,spline_rmse,spline_r2,spline_alpha,linear_rmse,linear_r2,linear_alpha
3,0,0.036219875290068586,-0.0679864180176053,88.58667904100822,0.03582543514412886,-0.04485199586810573,297.63514416313194
3,1,0.03205246458641599,0.04870219897652772,297.63514416313194,0.032610322889923896,0.015300238425283719,162.3776739188721
3,2,0.029832680228489353,0.0195797095445035,162.3776739188721,0.030853260802984152,-0.048648367818490135,48.32930238571752
3,3,0.026344672859471046,0.09660030033539613,545.5594781168514,0.02695242745045222,0.05443782002207309,297.63514416313194
3,4,0.037327413904203965,0.0941064075514314,545.5594781168514,0.03802095365575669,0.06013085025366083,48.32930238571752
4,0,0.03626329728278065,-0.07054865191548632,162.3776739188721,0.03582543514412886,-0.04485199586810573,297.63514416313194
4,1,0.031905713620682674,0.0573932177386397,297.63514416313194,0.032610322889923896,0.015300238425283719,162.3776739188721
4,2,0.030043763656553802,0.005656547342308249,162.3776739188721,0.030853260802984152,-0.048648367818490135,48.32930238571752
4,3,0.026367234435348465,0.0950522948920346,545.5594781168514,0.02695242745045222,0.05443782002207309,297.63514416313194
4,4,0.03727734263964086,0.09653512202086167,545.5594781168514,0.03802095365575669,0.06013085025366083,48.32930238571752
5,0,0.03622403404644865,-0.06823168392643741,88.58667904100822,0.03582543514412886,-0.04485199586810573,297.63514416313194
5,1,0.03192995598285384,0.05596026459949155,297.63514416313194,0.032610322889923896,0.015300238425283719,162.3776739188721
5,2,0.030193183651180126,-0.004258605555041761,88.58667904100822,0.030853260802984152,-0.048648367818490135,48.32930238571752
5,3,0.026297156385556745,0.09985618865085555,545.5594781168514,0.02695242745045222,0.05443782002207309,297.63514416313194
5,4,0.037445024822034774,0.08838884969867511,1000.0,0.03802095365575669,0.06013085025366083,48.32930238571752
6,0,0.0362469895320948,-0.06958600834472084,162.3776739188721,0.03582543514412886,-0.04485199586810573,297.63514416313194
6,1,0.031835267031978504,0.061551101494248806,297.63514416313194,0.032610322889923896,0.015300238425283719,162.3776739188721
6,2,0.030224912524212992,-0.006370389227025042,162.3776739188721,0.030853260802984152,-0.048648367818490135,48.32930238571752
6,3,0.026409968977666676,0.0921165402734958,1000.0,0.02695242745045222,0.05443782002207309,297.63514416313194
6,4,0.03742388483069696,0.08941787889332686,1000.0,0.03802095365575669,0.06013085025366083,48.32930238571752
